protein_marker_01,protein_marker_02,protein_marker_03,protein_marker_04,protein_marker_05,protein_marker_06,protein_marker_07,protein_marker_08,protein_marker_09,protein_marker_10,protein_marker_11,protein_marker_12,protein_marker_13,protein_marker_14,protein_marker_15,protein_marker_16,protein_marker_17,protein_marker_18,protein_marker_19,protein_marker_20,protein_marker_21,protein_marker_22,protein_marker_23,protein_marker_24,protein_marker_25
1.21188204,-0.131985012,1.447733472,0.682553747,0.692466474,1.656980809,-0.384197848,0.281853605,-0.678480333,-0.839770929,-0.246390362,0.133876155,0.525537691,-0.905531436,0.147431285,-1.414542315,-0.131911089,-0.27028548,-0.162015634,0.393036738,-0.286918724,-0.395176321,0.18846376,0.914862355,1.14820728
0.335872065,1.986722598,0.946049155,0.317849899,2.418076328,2.540126531,0.845167745,0.678878446,,-1.923727605,0.157127163,-2.002481791,-0.878290101,-0.110694752,0.105072169,0.89876537,-1.414768506,0.692862639,-0.7739116,0.610602214,1.05702126,0.298521761,-0.173487098,,-0.312318481
,,,,,,,,,,,,,,,,,,,,,,,,
0.45141122,0.841101917,0.998990148,1.015226916,-0.170355045,1.919895023,-1.302901289,-0.488234282,0.125001041,0.498642981,0.300003935,0.018355397,-0.707440454,0.189850529,0.863868116,-1.484588566,-1.192755863,-0.542424416,0.814025295,-1.020309329,-0.363260224,-2.220396886,0.227574841,2.050784662,2.197684145
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1.527000756,0.34360473,0.008167448,1.167143965,-0.026483307,1.289093174,-0.129246586,-0.724053033,0.827334787,0.459406776,-0.517266393,0.948550881,-1.513498017,-0.616977283,-0.267026222,-0.36559969,0.345753835,1.786777431,-0.194973517,1.612827014,0.423388284,0.525722281,0.55495586,0.272932828,2.419137524
,,,,,,,,,,,,,,,,,,,,,,,,
-1.134548699,-1.198061035,-0.315349508,-0.577363526,-0.218339133,-1.169219564,-0.013053542,0.191998343,-0.596557777,-0.946402274,1.38616274,-1.588111627,-0.99078942,0.864290953,1.118681425,-0.576334903,0.086549895,-0.288657254,0.837624226,-0.460371404,-1.45433243,-0.755126076,-2.08692495,-1.059137322,-0.048063187
1.95542328,2.1913356,3.275478861,2.278462353,1.969085029,1.762787734,0.249181951,0.880701137,-1.525066335,-0.455842342,0.472064074,-1.01529591,0.833635087,0.501416484,0.035792794,,-1.103404367,-1.333417213,,-2.347977938,0.08697811,0.944304678,0.513727994,0.241390128,0.902465317
-1.536470471,0.005331748,-0.372423878,0.93029054,-0.847045905,-0.719750107,0.582697996,1.030171785,-0.420963948,-0.061873201,-0.661613052,-0.413175792,-0.498874623,-0.079001897,0.191478857,-0.615622532,0.534845962,-1.384592334,0.478131724,-1.229096426,-0.617445268,-1.254042864,-0.911923302,-2.663489538,1.184216753
-0.067475267,0.15023858,0.010962582,1.217448545,0.072994802,-1.300381259,-1.768463091,-1.73412945,-1.360830243,-0.395550044,-0.714136867,-1.082717852,-0.144091544,-0.686288998,-0.469331608,-0.495645539,-0.09095796,-0.597439475,0.302751703,0.636522047,0.416098676,0.127599233,-0.086237825,0.272467076,-0.038815294
0.108378102,-1.665925585,-2.038104024,1.437993531,-1.816004599,-0.519023904,-0.545329786,-1.11792956,-1.059817582,0.065378987,0.084356481,-0.727382264,-1.329924017,0.425339086,0.991883546,-0.783971723,0.050498838,0.8065209,0.093003464,-0.101747919,0.669788686,-0.242516769,0.371046985,0.315398393,-0.483843659
1.38164566,0.17678664,1.98380916,3.661621735,1.235759912,0.803734342,-2.42915908,-0.101342089,-0.897866678,-1.295378711,-0.036055671,-1.127457041,-0.422455647,0.243874653,-0.417820998,-0.620796323,-0.85676226,-0.570636811,1.028513803,-0.419849859,0.398938934,0.046279468,1.333029024,,1.717395318
0.672333907,2.66681652,-0.015815105,-0.921749115,0.629912794,-0.409683642,1.172919357,-0.502349076,0.870585401,0.292904115,-1.971456588,0.659232391,0.651964126,0.981541755,-0.158885322,-0.93313402,1.424277516,-0.990259996,1.065668069,-2.495553502,0.072592324,-0.989034285,1.842322801,-0.092366361,-0.270614458
0.613882851,1.622644749,2.732765668,-1.133839307,-0.158459773,0.830658404,0.033355432,-0.329948354,0.151327989,0.937087418,2.86712273,0.576432113,0.083204929,-0.755343,-0.194846144,0.38346929,-1.299677895,-0.90782182,-0.522687685,-0.013127264,0.288871272,0.436883456,-0.921218287,-1.251169518,1.19372877
,,,,,,,,,,,,,,,,,,,,,,,,
1.323281253,1.140216021,3.225127449,2.024345449,2.240380748,2.250731045,1.791024079,1.633154784,0.10381941,1.439617746,1.217751535,2.079950299,-2.157973633,-0.069032483,-1.78334547,0.325667042,-0.652738052,-0.822713428,-2.49911584,-0.724382581,-0.030751784,-0.971856871,0.325717169,-0.337250956,1.826965158
0.28580321,-0.911122021,-0.356978784,-0.975168079,-2.262837326,-0.555554835,0.358470011,1.201225199,-0.368176152,1.029823131,-0.719577688,-0.666732952,-0.152911623,-0.224444958,0.648541931,1.840278307,-0.08397916,-0.422238717,,0.850104097,-0.796483247,0.189645522,0.242427754,-0.972092746,-0.849045923
,,,,,,,,,,,,,,,,,,,,,,,,
0.834067328,-1.420643475,-0.262474062,-0.63926346,-1.174599755,-0.484064593,0.140487988,0.678942775,-0.552096196,0.792692052,0.231580127,-0.633488918,-0.607821916,1.413546338,-0.332402881,0.689448777,-1.345694728,2.270115268,0.419196919,-0.933689305,0.683238156,-0.296740728,-0.016603002,0.110756108,0.854486402
-1.322286913,-0.845133486,0.174982049,-0.924016418,0.776335709,-1.296219166,-0.731491309,,-0.803208395,1.461909777,0.163925807,-0.417006914,0.373809244,-1.449497844,0.581123245,0.450710747,-0.837950854,0.882067969,-0.335866935,0.185580327,0.68040135,1.360392922,0.597540946,-0.358334785,-1.130339307
,,,,,,,,,,,,,,,,,,,,,,,,
-0.717662167,0.208161946,0.206089954,-0.572523356,0.795387068,-0.281873898,0.218077543,-0.45650024,0.652272792,0.012460261,0.208205923,-0.159715757,-0.435902228,-0.511490262,0.834979771,0.085061021,1.551183744,-1.537011941,0.811966096,-0.402705895,-0.329977465,-0.116294703,-0.994585392,-0.005638693,1.548409233
0.062355713,-0.76978454,0.569719331,0.59038572,-0.034591574,0.154138927,-1.154577631,-1.389764941,0.285837363,0.301362548,-0.235184782,0.362355264,0.947303741,1.074110329,0.385284819,0.267661541,2.332281103,0.158062717,0.39725468,1.467215405,-0.549007352,-0.993154196,-0.644159935,1.345815971,-1.784832139
-1.237072644,-2.389966878,-1.706600965,-2.518910363,-2.310971837,-1.777437056,1.132733513,-0.347959651,-0.443856685,-0.237121853,0.538497389,0.601814382,0.189802788,,-1.194880648,-0.630934542,0.242855915,-0.291741764,-0.11669006,-1.278669178,-0.353602716,0.126590357,-0.212260249,0.46954641,0.402139279
,,,,,,,,,,,,,,,,,,,,,,,,
0.550037256,-0.793478308,-1.246454829,0.062412871,-0.102986818,-1.504543468,-0.620127994,1.560465599,-0.904947358,-0.095094218,0.236164801,0.100756524,1.570596634,-0.49664681,0.019089395,-0.288304289,0.404100735,0.693687231,0.738148916,-1.539285998,-1.523583121,0.635901245,-0.326480674,0.852433876,-0.025907665
,,,,,,,,,,,,,,,,,,,,,,,,
-1.047519748,-0.129008319,-0.298345407,0.407139008,-0.606398048,0.086144906,0.066723885,-0.458392497,1.49230556,0.582739566,-1.403872761,-0.94747442,0.925464361,-0.079663089,1.139446477,1.056550711,-0.261325551,-0.552294641,-0.371253266,0.336548965,-1.395140131,-0.681995625,,0.401552276,-0.262608008
,,,,,,,,,,,,,,,,,,,,,,,,
,0.140099183,0.0764166,-0.902782705,-0.14526909,0.256322762,0.008764583,-1.300002088,-0.540772115,-0.451550497,-0.199642962,0.733431437,-0.91445234,1.59116761,0.140084173,1.081181909,,0.517673746,0.202845698,-1.410192364,-0.101719877,1.39719049,-0.652993397,0.589780418,0.069158225
-0.04464637,-0.395524724,0.022147208,0.323219932,1.092984239,1.038228235,-0.153094657,-0.130320486,-0.371906247,0.618920155,-0.831838465,-0.187986857,-0.59414961,-0.050096582,0.479017581,-2.38120877,-0.395789235,0.571524847,-1.12115971,0.379796695,-0.412227603,0.629010248,0.678088874,-0.444144174,-0.27670556
0.161202187,0.466945041,-0.092293572,1.183392328,-0.310880015,1.734201583,-0.985652386,0.197663843,0.169800568,0.145407022,-0.140221807,-0.374095711,-0.832739461,-0.913126077,0.029067265,1.432203098,-1.487151827,-0.178142937,0.89471284,0.823949247,0.885652358,1.847412249,0.988043191,-1.139342864,-0.513260522
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.492114163,1.09475135,0.647645399,0.01166598,1.132261323,0.24876213,-0.625664739,-0.307597498,-0.224378887,0.609884901,-0.677491529,-1.0532001,0.652997706,1.754462625,1.139852258,0.910153386,0.011590668,0.543173088,2.06919813,0.276090964,0.728791385,,-1.976103684,0.179291674,1.34366557
1.36946252,-0.152070973,1.660174761,1.998616327,0.510123274,1.979878672,1.260116287,1.28810881,0.463487172,-0.977101401,0.258432989,0.482353748,-1.927181429,0.138018037,0.304048788,-0.516778006,-2.229974196,0.346198257,1.729959035,0.496871577,-1.410983438,1.237570066,0.096995687,-0.448870189,1.578824898
-0.671592531,-0.88514483,-1.178236241,-2.876473892,-0.475602195,-1.636208822,-0.652457732,-0.218996271,-0.192469719,-0.715442773,-0.578867935,-0.437660866,-0.366499543,0.638601217,-0.450676335,-1.420962088,1.36300983,0.531231427,0.340661782,-0.474883245,0.252266645,-1.084878233,-0.570983624,0.883378692,-0.586640302
,,,,,,,,,,,,,,,,,,,,,,,,
-0.186078521,-1.839031038,0.042775675,-1.10480279,-0.996339088,-0.924164035,0.272792525,-1.155776293,-1.423792504,-0.780398531,-0.30309511,-0.952901258,0.662128963,2.158986274,-0.113892438,-0.032615643,1.176202128,0.086061951,-1.829601697,-1.25161823,-0.741437793,0.265356506,0.964624064,3.327472286,-0.424947644
,,,,,,,,,,,,,,,,,,,,,,,,
-0.502781117,0.543167344,-0.943190404,-1.412447296,-0.657510189,-0.69991044,-1.092167777,,-0.050497567,-2.097965699,-1.083266683,1.154505613,0.600031543,0.289207155,1.012413222,0.137134236,-0.409548298,-0.617425546,0.519136059,0.371787306,0.124271388,-1.772929155,1.350318064,1.537292337,0.355760869
1.357198893,1.095197102,-0.108487098,0.629875687,0.594620878,-0.278796292,0.831577695,1.211549519,1.623426873,2.111783487,0.442039763,1.654807902,0.670950802,-0.761912706,-1.374072021,-1.491495799,-2.033240095,-0.033668812,0.043552905,1.507542654,-0.217538489,-1.54016091,0.939367769,1.634630645,-1.052149618
-0.98000226,-2.902799005,-1.445380245,-2.107542841,-0.455108571,-0.686686176,0.694503289,-0.429190125,1.054380761,-0.134021704,-0.874214249,-0.221690617,0.258917027,0.111256844,1.905696426,0.887217483,2.260402252,-0.338541107,-1.888220999,1.151439613,0.084951225,-0.36446722,-0.324462129,0.533597459,0.484303276
0.539411024,0.802878377,1.108007552,0.148713257,0.836124919,0.200507972,,0.778176094,1.035928742,1.585187113,0.351067986,-0.733454596,-1.246062344,-0.204516757,0.694098636,-0.560369186,0.384025122,0.393643057,-0.286621349,0.660858478,0.874240263,-1.464591508,-0.078441894,0.037083319,-1.555878083
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.744742312,-0.345280923,1.468249995,1.75500662,-1.362709407,1.364680031,1.539473826,0.509928174,0.084469494,,0.608907241,-0.060513605,-0.854489846,-0.078183289,2.124563136,0.330388567,0.144714738,0.51629935,0.165691245,-1.447599954,0.656671458,-0.580956323,0.445398005,1.133299712,0.673864766
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.177977538,-0.961649428,-1.313807084,-1.196078235,0.299683504,-1.476361815,-0.965450261,-0.241252278,-0.682684551,-1.317602491,0.469750709,0.164840579,0.560899074,1.842929598,0.685456464,0.703613953,-0.291649789,-1.234370902,0.183757382,0.73657342,-1.598832873,-1.422934257,-0.78403927,0.85891491,0.110852602
,,,,,,,,,,,,,,,,,,,,,,,,
-1.099727405,0.314344086,-0.216098684,0.085285979,-0.419897678,-0.038128622,-0.436491571,1.109466352,-0.344334456,0.726407022,-1.905897994,-2.312522706,-1.076693825,0.826513583,-1.440290465,-1.244123992,-1.073702505,2.106314255,0.649374859,0.072257552,1.297666859,-1.267170267,0.711929267,-0.634218434,0.507392419
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-2.08865931,0.101985494,-1.586849599,-1.402198689,-0.979178666,-0.837339644,-1.257133437,1.347820084,-1.103298253,0.642739912,-0.42581662,0.658636833,-0.429431887,1.349043194,,1.080878069,-1.466996269,0.851691038,-2.33129673,-0.72483709,-1.448988284,-0.049711794,0.122398692,0.023954503,-0.46666857
0.573913743,-0.239502994,-0.10631487,0.593250696,1.041180609,-0.058077817,0.383914819,-1.444825761,-1.599238584,0.99850928,-0.467235802,1.253670252,0.125996302,1.23967289,-1.451800203,-0.420707236,-0.585901958,-0.465096268,0.418021078,0.657859992,-1.051056158,-0.128281538,-0.513081421,-0.126258471,1.209046969
0.356858114,0.359138223,1.136875878,0.841572039,-0.593728175,-0.231861649,-1.021013621,-1.356584241,-1.445453634,0.486870301,-0.985564618,-0.617223425,0.47120998,0.677372604,,-1.565786321,-0.36039824,-0.149002198,0.487411009,-0.359087403,0.339872569,0.322835435,-1.199108125,0.087748708,-0.916351363
0.082368487,0.301250021,-0.291219286,-0.497470808,-0.035091395,-0.472428387,0.620758826,-2.043084753,0.885148549,-0.392710908,-1.271816779,0.245585242,-0.096032783,-0.754924882,-0.989016846,0.238714291,0.525882944,0.626294532,-0.235229233,-0.098531617,,0.342851492,0.071747433,0.08254517,-0.742481913
,,,,,,,,,,,,,,,,,,,,,,,,
-0.151605076,1.760601891,-0.724456988,1.423990703,0.65161428,0.884501703,3.291436345,1.640272706,0.493580886,2.353262891,0.905551891,1.620487862,0.287454387,0.460814138,0.785944943,1.197026504,1.247236238,-1.010134114,-0.060996111,-0.74109429,-0.578921383,-0.635596804,0.020150064,-0.387772915,1.046800452
-0.496587168,0.172781601,1.107259931,-0.454389077,-0.011346257,0.381810809,0.496861233,0.151893221,-0.916191807,-1.205851904,-0.296326214,1.368031217,-0.09466872,0.535013776,-0.574914819,-0.193096909,0.249141998,-0.576552908,-0.710560763,0.963976586,-1.131347646,-0.058995195,-1.066240856,-0.108705968,-1.170151419
-0.255200561,0.724763153,-0.603007624,0.292192847,-0.108119859,0.552590875,0.254595552,-0.663937767,0.148288323,1.725428314,-0.192623847,1.445893107,-0.575872274,0.038541796,-0.75916575,0.067351089,-0.390293674,0.698899146,1.67795541,-1.347596352,1.658245291,-0.189734898,0.481803562,1.363221239,
-2.002860866,-0.956365259,-1.90913641,-0.769170225,-0.439559838,-0.87814377,0.043143299,0.216479176,1.241197505,0.861330358,1.358501918,0.267507291,-0.924274779,-0.669999026,1.229413053,0.215657692,-0.212394758,-0.939213876,0.37529137,0.306550968,-0.474955799,2.060682225,1.035156382,-0.57871895,-0.054747095
-1.039394485,-0.888959097,-2.556178085,-1.47562636,-1.644570163,-0.7414719,-0.821220997,-0.193661341,-1.061106272,,0.398487179,-1.063412961,0.13719069,1.657460368,1.017294964,-0.305563883,-0.081569154,0.028799619,-0.795484827,-0.090898997,0.031292304,-0.383894672,2.213034163,2.255340013,-0.433733524
-0.838967652,-0.189402319,-1.571449807,-0.193865725,-1.293815089,-0.499482315,-0.653509052,0.658584223,-0.570014012,0.369007938,-0.828886138,0.00023486,0.013521203,-0.838018897,0.263847547,-0.453553303,0.566244417,0.031060803,-2.052645005,0.827341796,0.083644602,0.289665312,1.44184403,-0.635164453,1.097806366
-0.836614745,-0.044844037,-1.696302446,-0.898821016,-0.112453198,-0.801952364,-0.818674991,0.083501104,-1.160481106,0.246959522,0.841323747,1.025130925,0.519996022,-0.713590317,1.45519325,0.045502523,0.187448196,-0.777074052,0.590617682,-1.374373962,1.105620453,0.465926488,-1.00535839,0.240059217,-0.802670829
-0.495381506,-0.070683322,,-0.238677981,-0.312270247,-0.792721864,0.931183743,0.068835321,-0.807696736,-0.66744461,-0.618705636,-0.835835314,1.410028936,-0.775871153,0.493479428,-0.409821801,-0.147159795,-1.777247249,0.696149194,-1.530791123,-0.952466565,1.400524291,0.858082738,0.571206503,2.285676154
1.912143643,1.289834866,0.715487698,0.621467245,2.37793705,2.374377777,,-0.034590993,0.358287389,1.282754396,-0.448040613,-1.472194428,0.139074456,-1.019636106,-0.728896857,-0.376626287,-0.162699944,-1.094301654,-0.215776851,0.750044386,1.168260834,-0.811184592,0.256523921,-0.291755905,-0.176641789
-0.739736972,-1.595299151,-0.975067839,-0.653472382,-0.544850069,-0.872382045,-2.523383095,0.290882585,1.084516759,0.469313707,-0.962947554,-1.01938489,-0.565504528,1.286901208,-0.737241039,1.909896041,0.579353418,0.399088685,0.603675482,-0.390922142,-1.278720716,1.339647829,-1.152099161,1.382363212,0.149841704
-0.749533602,-0.52892377,-0.676443964,0.278342838,1.143308822,-0.6101643,-1.541186518,-0.013143389,-0.364999669,,-1.215916618,-0.787285845,-1.967413175,1.148376539,,0.933997412,-0.910152326,0.43315618,-0.348270528,-0.090802104,1.165720258,-0.147395574,0.283795212,0.545211783,1.542905016
0.697495564,-0.010557467,2.226012831,,1.395747641,0.418586013,1.238868215,-0.558590822,0.404675898,-0.059692941,,-1.097801149,-0.860304816,-0.234902312,0.5262871,0.108972817,0.117046555,0.276665355,1.067215275,-0.659749161,-1.715299585,2.50134523,1.918676698,-0.204902359,0.175929679
,,,,,,,,,,,,,,,,,,,,,,,,
-1.976207275,-1.750578895,-0.03342997,-0.236979031,0.198161433,-0.1317066,-0.030801528,1.124903627,0.674951051,-1.636008491,-0.104431298,0.513271796,-0.89021977,-0.242338908,-0.211725594,-0.975291276,0.762129421,-0.796640199,-1.638925371,0.29921621,1.625437222,-1.228929129,-1.013449806,-1.015491781,-1.953158467
0.548633611,-1.098207767,0.194243044,0.732238727,-0.354377239,0.021468476,0.953332055,0.354643298,-0.532021921,0.336298487,0.483617875,1.539898494,0.25251921,-1.038309224,1.126282355,2.275865802,0.508932649,-0.722078293,-1.395191844,0.240664088,,-0.197158673,0.013717217,-0.56548352,-0.44259704
0.836966426,2.21356455,-0.048408274,0.773445125,0.383915156,0.305378538,-0.563841984,0.335359666,2.053500679,0.725388458,0.340880948,-1.035770797,0.224105866,2.144450716,-0.044688079,-0.266297857,1.614509141,0.485706614,2.031281723,-1.169620468,0.421242289,1.336269357,0.49167443,0.562570432,0.396733778
-0.637373683,-1.55278552,-0.988971034,-1.921366294,-2.119785633,-0.486734916,0.566812184,1.439076954,0.008531271,-0.674841939,0.495517065,0.650200337,1.700261229,1.265167342,-0.675536843,1.83132668,-0.977035422,-0.162673689,0.93219635,0.501505553,-1.048415142,0.081541154,-1.729903602,0.801466425,1.081419298
-3.201755178,-0.809027257,-1.659426707,-1.621460365,-2.451207368,-1.615565487,-1.558962614,-2.379577873,-0.790342914,-0.163544272,-2.730350721,-0.169451208,1.025340449,0.909544517,-0.585114859,2.390029795,1.610673608,1.406937812,-1.262381005,-0.992212919,-0.734801244,-0.059625408,-1.695437764,0.322621885,0.769696558
-1.749981696,-1.210785864,-1.440783203,-2.738761501,-1.104376098,-0.175259186,0.283377774,0.848923478,0.262528932,-0.228545349,-0.942863579,0.235560424,2.22473992,-0.263811565,0.050873399,-1.071417461,1.348691423,0.849725573,-1.570380038,-0.658553028,1.344395821,0.718997164,0.154627844,-0.127192322,0.676032108
-2.281748803,,-0.424754547,-1.251016902,-1.512617989,-1.915823993,-0.355866259,-0.428176989,0.270590217,-0.487246399,0.460558747,-0.879182683,1.106570328,0.260503925,-0.67884682,1.783327793,0.298936022,1.618383371,0.207772066,-1.365347665,0.472339491,-0.344997691,0.16767505,-0.251444068,1.061057842
0.178407065,-1.505497805,-2.013309681,-0.668211105,-1.20457027,0.119785077,-0.473544358,0.66267327,1.028360459,0.550512279,-1.351833649,-1.173415238,1.326172459,-0.274146607,2.157596858,0.093518163,0.010057372,-0.069946284,-1.142315392,-0.156541475,0.890249247,-0.210733176,-1.838818933,1.131400926,0.475019653
,,,,,,,,,,,,,,,,,,,,,,,,
-2.5492351,-0.433606189,-0.746451979,-1.723752452,-0.268859562,-1.230961715,0.677724808,-1.014583398,0.707778633,0.780718058,-1.140195171,0.118554732,-0.650140686,0.595848527,0.230864305,0.789091978,-0.894311059,2.148125977,-0.04727919,0.226694989,-0.281731484,1.728820781,1.086962703,-0.872238772,1.442203253
,,,,,,,,,,,,,,,,,,,,,,,,
0.311774387,0.989484276,1.18918907,1.167959797,0.165753409,0.045556959,0.401600248,1.670950079,1.637795083,1.045329147,2.170972202,1.900371829,-0.465412482,-1.763701382,-1.626770536,-0.002932525,-1.584927982,-0.005353895,1.126538282,0.109146318,0.259353034,0.16946666,0.059811786,1.513461313,0.313625007
-0.241574317,-0.406782599,1.37963023,0.49731615,0.80105627,0.703887672,1.415252257,-0.122699889,-0.126760823,0.093244173,0.714386908,-0.284662035,-0.440650606,2.043545477,0.001263838,-0.722022644,1.560842625,-0.71278307,1.834756239,0.103613972,-0.169960001,0.479884548,0.571411717,-0.718761612,0.181004761
,,,,,,,,,,,,,,,,,,,,,,,,
-0.483432734,-1.833660434,-0.597508554,-0.190581874,-0.728869782,-1.762981684,-1.145306012,-1.346781724,-0.19057301,-0.481654337,-0.091719781,-1.003283512,0.701920111,0.737698988,0.197129732,1.528592509,0.460772118,1.342918541,-1.130659164,,0.953908297,-1.253862795,-1.668622502,1.350906435,-1.106040684
0.687501686,1.104564487,0.944225913,0.299535249,-1.944352611,-0.217663726,-0.394794679,0.706237338,0.464621298,0.092692419,1.709229522,0.568559375,-0.832954304,-0.308265302,2.274035546,0.419769287,0.464037759,-0.37310472,0.388846155,-1.039994354,0.440026312,-0.998764028,-0.905121192,0.542107291,-1.938693264
,,,,,,,,,,,,,,,,,,,,,,,,
-0.199783617,0.120820469,1.945828681,1.036342389,-1.413034018,-0.725766955,-0.339683032,-2.25752397,0.705997338,0.038355235,-0.033958728,,-0.891215926,0.043691099,1.293994894,0.605931576,0.519421326,0.371087042,-0.403215156,-1.755248369,1.179252734,-0.779879309,-0.860827051,-1.015694095,0.826238437
-0.433735042,-0.507600637,-0.133028588,0.769843591,-0.43479927,-0.320906459,0.70630127,3.225903096,1.467954285,1.230111414,-0.314435619,2.115211978,-0.505027788,-0.585007656,0.907297493,-1.559940066,0.557652438,0.057598913,0.850358892,0.575623608,0.243812499,-2.072017222,1.466968498,1.869888473,-1.446621863
-1.666009063,-0.018415232,-2.824524886,-0.745109014,-2.030001329,-1.463940318,-0.372767732,-0.297312336,-0.533570193,-0.222414608,-0.101020349,-1.418068617,-0.287265049,1.243143091,0.606004362,-0.150412558,0.203232202,1.335379915,-0.837135593,-1.102749192,0.263398839,0.386978323,0.634475938,-1.041164592,-0.88028097
,,,,,,,,,,,,,,,,,,,,,,,,
-0.047928105,0.386863137,-0.191899382,-0.7242822,0.561302905,0.983936957,-0.039601871,-0.362238581,0.318095166,-0.247949114,-0.150441049,1.321879836,0.457192414,0.605319071,-0.187103749,0.624957761,-0.347412822,-0.208296504,-1.161942282,-2.445236264,0.66870662,0.631219274,-0.214335758,0.372503639,-1.027424675
,,,,,,,,,,,,,,,,,,,,,,,,
-0.540351719,-1.6373775,-0.57931902,-0.169338808,-1.057961234,-0.206444981,0.336769424,-0.57003222,,-0.881023845,-1.44733083,-0.779308561,-0.088623069,2.129419476,0.446753654,0.987770058,2.39599958,1.50679073,-0.116454979,-1.639220677,-0.188585054,-0.249812329,-0.646239391,0.573805205,0.081821516
0.467197763,-0.898142337,-0.869648225,,0.439300146,-0.879273601,0.521114123,-0.822722372,0.388338006,1.013744128,0.385509487,1.11359217,-1.198792756,0.325621238,-0.029210772,-0.049889622,-1.099785712,-0.524020318,0.608122899,-1.199934629,1.983664154,0.052238183,0.851583854,-1.467772125,0.282642739
